user,group
taiwo_white,SoftwareEngineering
claire_baba,CloudInfrastructureEng
okon_mccln,CloudInfrastructureEng
ope_jap,DBA
petit_happy,SoftwareEngineering
tiffy_teddy,DBA
kenny_brown,DBA
pappy_chin,CloudInfrastructureEng
ireti_ken,DBA
troy_koi,CloudInfrastructureEng
peace_mosi,DBA
grace_madi,SoftwareEngineering
nick_cosy,SoftwareEngineering
love_still,SoftwareEngineering
faith_blessed,CloudInfrastructureEng
mae_fin,SoftwareEngineering
joe_kyle,SoftwareEngineering
joseph_plad,CloudInfrastructureEng
chioma_love,DBA
mercy_junior,CloudInfrastructureEng
brandy_bod,SoftwareEngineering
